"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"SF99-38-6","SAMN30219682","AWJG01A07","SRS14596012","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A07","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219682","30219682"
"PL4","SAMN30219681","AWJG01H06","SRS14596011","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG01H06","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219681","30219681"
"SF09-6-21","SAMN30219680","AWJG01F06","SRS14596105","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F06","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219680","30219680"
"SF99-04-2","SAMN30219679","AWJG01E06","SRS14596104","Haliotis rufescens","1999-02-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01E06","San Pedro","33.70445 N 118.2946 W",33.70445,-118.2946,"SAMN30219679","30219679"
"H2","SAMN30219678","AWJG01D06","SRS14596103","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Leary","Haliotis_rufescens_AWJG01D06","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219678","30219678"
"SF03-19-3","SAMN30219677","AWJG01C06","SRS14596102","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C06","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219677","30219677"
"SF07-7-4","SAMN30219676","AWJG01B06","SRS14596101","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B06","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219676","30219676"
"SF99-38-3","SAMN30219675","AWJG01A06","SRS14596100","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A06","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219675","30219675"
"SF99-36-9","SAMN30219674","AWJG01G05","SRS14596099","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01G05","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219674","30219674"
"SF09-6-19","SAMN30219673","AWJG01F05","SRS14596098","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F05","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219673","30219673"
"SJ 2","SAMN30219672","AWJG01E05","SRS14596097","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E05","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219672","30219672"
"SF07-32-2","SAMN30219671","AWJG01D05","SRS14596096","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01D05","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219671","30219671"
"SF98-32-1","SAMN30219670","AWJG01C05","SRS14596094","Haliotis rufescens","1998-12-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C05","Monterey","36.639425 N 121.93438888 W",36.639425,-121.93438888,"SAMN30219670","30219670"
"SF10-15-2","SAMN30219669","AWJG01B05","SRS14596093","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B05","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219669","30219669"
