Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR20994067,WGS,302,28504880946,PRJNA867688,SAMN30219786,Invertebrate,8939191278,UCLA,"SHL\, BML",2003-04-30,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010740,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02C09,Point Reyes,37.98801666 N 122.96269722 W,AWJG02C09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:10:00Z,1,AWJG02C09,SRP390753,epipodial
SRR20994068,WGS,302,19652154116,PRJNA867688,SAMN30219785,Invertebrate,6128205750,UCLA,"SHL\, BML",2007-08-06,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010739,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02B09,Timber Cove,38.530525 N 123.27260555 W,AWJG02B09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:59:00Z,1,AWJG02B09,SRP390753,epipodial
SRR20994069,WGS,302,22079021284,PRJNA867688,SAMN30219784,Invertebrate,7050603623,UCLA,"SHL\, BML",1999-10-22,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010738,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02H08,Trinidad,41.05053333 N 124.15049166 W,AWJG02H08,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:00:00Z,1,AWJG02H08,SRP390753,epipodial
SRR20994070,WGS,302,21483248670,PRJNA867688,SAMN30219783,Invertebrate,6895541601,UCLA,"SHL\, BML",1999-10-27,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010737,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02G08,House Cove,39.36008333 N 123.82366666 W,AWJG02G08,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:09:00Z,1,AWJG02G08,SRP390753,epipodial
SRR20994071,WGS,302,28732619146,PRJNA867688,SAMN30219760,Invertebrate,8940500222,UCLA,"SHL\, BML",2008-03-29,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010736,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02F05,Brookings,42.04461111 N 124.28393611 W,AWJG02F05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:06:00Z,1,AWJG02F05,SRP390753,epipodial
SRR20994072,WGS,302,20263359836,PRJNA867688,SAMN30219759,Invertebrate,6641685942,UCLA,Fabiola Lafarga,2014,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010735,Mexico,North America,Mexico:Baja California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02E05,Santo Tomas,31.54910277 N 116.68323611 W,AWJG02E05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:09:00Z,1,AWJG02E05,SRP390753,epipodial
SRR20994073,WGS,302,24388312000,PRJNA867688,SAMN30219758,Invertebrate,7963544767,UCLA,Andrew Harmer,2021-05-05,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010734,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02D05,"Morro Bay\, Patton Cove",35.20272 N 120.85028 W,AWJG02D05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:59:00Z,1,AWJG02D05,SRP390753,epipodial
SRR20994074,WGS,302,27599543534,PRJNA867688,SAMN30219757,Invertebrate,8585493424,UCLA,"SHL\, BML",2003-04-30,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010733,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02C05,Point Reyes,37.98801666 N 122.96269722 W,AWJG02C05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:11:00Z,1,AWJG02C05,SRP390753,epipodial
SRR20994075,WGS,302,8517400828,PRJNA867688,SAMN30219756,Invertebrate,2916303225,UCLA,De Wit/Lee/Leary,2011-02-02,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010732,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02B05,Hopkins (Monterey),36.62073333 N 121.90196666 W,AWJG02B05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:32:00Z,1,AWJG02B05,SRP390753,epipodial
SRR20994076,WGS,302,27278779066,PRJNA867688,SAMN30219755,Invertebrate,8580637825,UCLA,"SHL\, BML",2007-02-05,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010731,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02A05,VanDamme,39.26975833 N 123.79865833 W,AWJG02A05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:00:00Z,1,AWJG02A05,SRP390753,epipodial
SRR20994077,WGS,302,20922022440,PRJNA867688,SAMN30219754,Invertebrate,6782271953,UCLA,ODFW,2021-06-17,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010730,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02G04,"Port Orford\, Nellie's Cove",42.4414 N 124.3025 W,AWJG02G04,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:54:00Z,1,AWJG02G04,SRP390753,epipodial
SRR20994078,WGS,302,24112580564,PRJNA867688,SAMN30219753,Invertebrate,7519669038,UCLA,"SHL\, BML",2008-03-29,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010729,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02F04,Brookings,42.04461111 N 124.28393611 W,AWJG02F04,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:51:00Z,1,AWJG02F04,SRP390753,epipodial
